FILE FILE#DIGITAL/MARBLE-IMAGES/BOO_001016383/BOO_001016383.PDF digital/MARBLE-images/BOO_001016383/BOO_001016383.pdf  2021-06-02T06:01:22.911573 digital/MARBLE-images/BOO_001016383/BOO_001016383.pdf
FILE FILE#DIGITAL/MARBLE-IMAGES/BOO_001664322/PDF/BOO_001664322.PDF digital/MARBLE-images/BOO_001664322/PDF/BOO_001664322.pdf  2021-06-02T06:01:37.232290 digital/MARBLE-images/BOO_001664322/PDF/BOO_001664322.pdf
FILE FILE#DIGITAL/MARBLE-IMAGES/BOO_002468275/PDF/BOO_002468275.PDF digital/MARBLE-images/BOO_002468275/PDF/BOO_002468275.pdf  2021-06-02T06:01:44.431041 digital/MARBLE-images/BOO_002468275/PDF/BOO_002468275.pdf
FILE FILE#DIGITAL/MARBLE-IMAGES/MSH-LAT_0001/MSH-LAT_001-123/PDF/MSH-LAT_001-123.PDF digital/MARBLE-images/MSH-LAT_0001/MSH-LAT_001-123/PDF/MSH-LAT_001-123.pdf  2021-06-02T06:02:51.651630 digital/MARBLE-images/MSH-LAT_0001/MSH-LAT_001-123/PDF/MSH-LAT_001-123.pdf
FILE FILE#N296WW75N6F/0V83805288B/GA_CROCKER_11.PDF n296ww75n6f/0v83805288b/GA_Crocker_11.pdf  2021-05-11T12:12:16.612547 n296ww75n6f/0v83805288b/GA_Crocker_11.pdf
FILE FILE#N296WW75N6F/1544BP0242P/GA_CROCKER_20.PDF n296ww75n6f/1544bp0242p/GA_Crocker_20.pdf  2021-05-11T12:12:16.511986 n296ww75n6f/1544bp0242p/GA_Crocker_20.pdf
FILE FILE#N296WW75N6F/1831CJ85D1M/GA_CROCKER_00.PDF n296ww75n6f/1831cj85d1m/GA_Crocker_00.pdf  2021-05-11T12:12:15.805382 n296ww75n6f/1831cj85d1m/GA_Crocker_00.pdf
FILE FILE#N296WW75N6F/1G05FB51Z36/GA_CROCKER_01.PDF n296ww75n6f/1g05fb51z36/GA_Crocker_01.pdf  2021-05-11T12:12:15.979460 n296ww75n6f/1g05fb51z36/GA_Crocker_01.pdf
FILE FILE#N296WW75N6F/44558D00H1G/GA_CROCKER_12.PDF n296ww75n6f/44558d00h1g/GA_Crocker_12.pdf  2021-05-11T12:12:16.306110 n296ww75n6f/44558d00h1g/GA_Crocker_12.pdf
FILE FILE#N296WW75N6F/44558D00H2T/GA_CROCKER_21.PDF n296ww75n6f/44558d00h2t/GA_Crocker_21.pdf  2021-05-11T12:12:16.551204 n296ww75n6f/44558d00h2t/GA_Crocker_21.pdf
FILE FILE#N296WW75N6F/47429883S1R/GA_CROCKER_02.PDF n296ww75n6f/47429883s1r/GA_Crocker_02.pdf  2021-05-11T12:12:15.945240 n296ww75n6f/47429883s1r/GA_Crocker_02.pdf
FILE FILE#N296WW75N6F/5T34SJ16794/GA_CROCKER_22.PDF n296ww75n6f/5t34sj16794/GA_Crocker_22.pdf  2021-05-11T12:12:16.585506 n296ww75n6f/5t34sj16794/GA_Crocker_22.pdf
FILE FILE#N296WW75N6F/73666398W00/GA_CROCKER_03.PDF n296ww75n6f/73666398w00/GA_Crocker_03.pdf  2021-05-11T12:12:16.010712 n296ww75n6f/73666398w00/GA_Crocker_03.pdf
FILE FILE#N296WW75N6F/8049G448D02/GA_CROCKER_13.PDF n296ww75n6f/8049g448d02/GA_Crocker_13.pdf  2021-05-11T12:12:16.210931 n296ww75n6f/8049g448d02/GA_Crocker_13.pdf
FILE FILE#N296WW75N6F/8P58PC31B65/GA_CROCKER_04.PDF n296ww75n6f/8p58pc31b65/GA_Crocker_04.pdf  2021-05-11T12:12:15.884747 n296ww75n6f/8p58pc31b65/GA_Crocker_04.pdf
FILE FILE#N296WW75N6F/C821GH96M37/GA_CROCKER_14.PDF n296ww75n6f/c821gh96m37/GA_Crocker_14.pdf  2021-05-11T12:12:16.174906 n296ww75n6f/c821gh96m37/GA_Crocker_14.pdf
FILE FILE#N296WW75N6F/CF95J96354Q/GA_CROCKER_05.PDF n296ww75n6f/cf95j96354q/GA_Crocker_05.pdf  2021-05-11T12:12:16.145245 n296ww75n6f/cf95j96354q/GA_Crocker_05.pdf
FILE FILE#N296WW75N6F/FB494745G3N/GA_CROCKER_06.PDF n296ww75n6f/fb494745g3n/GA_Crocker_06.pdf  2021-05-11T12:12:16.105230 n296ww75n6f/fb494745g3n/GA_Crocker_06.pdf
FILE FILE#N296WW75N6F/GQ67JQ11C89/GA_CROCKER_15.PDF n296ww75n6f/gq67jq11c89/GA_Crocker_15.pdf  2021-05-11T12:12:16.405901 n296ww75n6f/gq67jq11c89/GA_Crocker_15.pdf
FILE FILE#N296WW75N6F/J9601Z43V3B/GA_CROCKER_07.PDF n296ww75n6f/j9601z43v3b/GA_Crocker_07.pdf  2021-05-11T12:12:15.911960 n296ww75n6f/j9601z43v3b/GA_Crocker_07.pdf
FILE FILE#N296WW75N6F/MK61RF5987M/GA_CROCKER_16.PDF n296ww75n6f/mk61rf5987m/GA_Crocker_16.pdf  2021-05-11T12:12:16.345327 n296ww75n6f/mk61rf5987m/GA_Crocker_16.pdf
FILE FILE#N296WW75N6F/NV935141W96/GA_CROCKER_08.PDF n296ww75n6f/nv935141w96/GA_Crocker_08.pdf  2021-05-11T12:12:16.286760 n296ww75n6f/nv935141w96/GA_Crocker_08.pdf
FILE FILE#N296WW75N6F/QV33RV07H0Q/GA_CROCKER_17.PDF n296ww75n6f/qv33rv07h0q/GA_Crocker_17.pdf  2021-05-11T12:12:16.386682 n296ww75n6f/qv33rv07h0q/GA_Crocker_17.pdf
FILE FILE#N296WW75N6F/RJ430290F6C/GA_CROCKER_09.PDF n296ww75n6f/rj430290f6c/GA_Crocker_09.pdf  2021-05-11T12:12:16.074936 n296ww75n6f/rj430290f6c/GA_Crocker_09.pdf
FILE FILE#N296WW75N6F/W6634171S3C/GA_CROCKER_10.PDF n296ww75n6f/w6634171s3c/GA_Crocker_10.pdf  2021-05-11T12:12:16.045250 n296ww75n6f/w6634171s3c/GA_Crocker_10.pdf
FILE FILE#N296WW75N6F/W6634171S4Q/GA_CROCKER_18.PDF n296ww75n6f/w6634171s4q/GA_Crocker_18.pdf  2021-05-11T12:12:16.445233 n296ww75n6f/w6634171s4q/GA_Crocker_18.pdf
FILE FILE#N296WW75N6F/XW42N587J1W/GA_CROCKER_19.PDF n296ww75n6f/xw42n587j1w/GA_Crocker_19.pdf  2021-05-11T12:12:16.474595 n296ww75n6f/xw42n587j1w/GA_Crocker_19.pdf
FILE FILE#NDCJF/DCJF1960.PDF ndcjf/dcjf1960.pdf  2021-05-11T12:15:57.761877 ndcjf/dcjf1960.pdf
FILE FILE#NDCJF/DCJF1961.PDF ndcjf/dcjf1961.pdf  2021-05-11T12:15:59.221750 ndcjf/dcjf1961.pdf
FILE FILE#NDCJF/DCJF1962.PDF ndcjf/dcjf1962.pdf  2021-05-11T12:16:01.061839 ndcjf/dcjf1962.pdf
FILE FILE#NDCJF/DCJF1963.PDF ndcjf/dcjf1963.pdf  2021-05-11T12:16:02.461744 ndcjf/dcjf1963.pdf
FILE FILE#NDCJF/DCJF1964.PDF ndcjf/dcjf1964.pdf  2021-05-11T12:16:03.861818 ndcjf/dcjf1964.pdf
FILE FILE#NDCJF/DCJF1965.PDF ndcjf/dcjf1965.pdf  2021-05-11T12:16:05.241765 ndcjf/dcjf1965.pdf
FILE FILE#NDCJF/DCJF1966.PDF ndcjf/dcjf1966.pdf  2021-05-11T12:16:06.601804 ndcjf/dcjf1966.pdf
FILE FILE#NDCJF/DCJF1967.PDF ndcjf/dcjf1967.pdf  2021-05-11T12:16:08.001792 ndcjf/dcjf1967.pdf
FILE FILE#NDCJF/DCJF1968.PDF ndcjf/dcjf1968.pdf  2021-05-11T12:16:09.381763 ndcjf/dcjf1968.pdf
FILE FILE#NDCJF/DCJF1969.PDF ndcjf/dcjf1969.pdf  2021-05-11T12:16:10.746648 ndcjf/dcjf1969.pdf
FILE FILE#NDCJF/DCJF1970.PDF ndcjf/dcjf1970.pdf  2021-05-11T12:16:12.161770 ndcjf/dcjf1970.pdf
FILE FILE#NDCJF/DCJF1971.PDF ndcjf/dcjf1971.pdf  2021-05-11T12:16:13.521806 ndcjf/dcjf1971.pdf
FILE FILE#NDCJF/DCJF1972.PDF ndcjf/dcjf1972.pdf  2021-05-11T12:16:14.881521 ndcjf/dcjf1972.pdf
FILE FILE#NDCJF/DCJF1973.PDF ndcjf/dcjf1973.pdf  2021-05-11T12:16:16.261778 ndcjf/dcjf1973.pdf
FILE FILE#NDCJF/DCJF1974.PDF ndcjf/dcjf1974.pdf  2021-05-11T12:16:17.661813 ndcjf/dcjf1974.pdf
FILE FILE#NDCJF/DCJF1975.PDF ndcjf/dcjf1975.pdf  2021-05-11T12:16:19.042164 ndcjf/dcjf1975.pdf
FILE FILE#NDCJF/DCJF1976.PDF ndcjf/dcjf1976.pdf  2021-05-11T12:16:20.442233 ndcjf/dcjf1976.pdf
FILE FILE#NDCJF/DCJF1977.PDF ndcjf/dcjf1977.pdf  2021-05-11T12:16:21.882137 ndcjf/dcjf1977.pdf
FILE FILE#NDCJF/DCJF1978.PDF ndcjf/dcjf1978.pdf  2021-05-11T12:16:23.262264 ndcjf/dcjf1978.pdf
FILE FILE#NDCJF/DCJF1979.PDF ndcjf/dcjf1979.pdf  2021-05-11T12:16:24.725189 ndcjf/dcjf1979.pdf
FILE FILE#NDCJF/DCJF1980.PDF ndcjf/dcjf1980.pdf  2021-05-11T12:16:26.102182 ndcjf/dcjf1980.pdf
FILE FILE#NDCJF/DCJF1981.PDF ndcjf/dcjf1981.pdf  2021-05-11T12:16:27.502676 ndcjf/dcjf1981.pdf
FILE FILE#NDCJF/DCJF1982.PDF ndcjf/dcjf1982.pdf  2021-05-11T12:16:28.922206 ndcjf/dcjf1982.pdf
FILE FILE#NDCJF/DCJF1983.PDF ndcjf/dcjf1983.pdf  2021-05-11T12:16:30.962248 ndcjf/dcjf1983.pdf
FILE FILE#NDCJF/DCJF1984.PDF ndcjf/dcjf1984.pdf  2021-05-11T12:16:32.342142 ndcjf/dcjf1984.pdf
FILE FILE#NDCJF/DCJF1985.PDF ndcjf/dcjf1985.pdf  2021-05-11T12:16:33.527178 ndcjf/dcjf1985.pdf
FILE FILE#NDCJF/DCJF1986.PDF ndcjf/dcjf1986.pdf  2021-05-11T12:16:35.162111 ndcjf/dcjf1986.pdf
FILE FILE#NDCJF/DCJF1987.PDF ndcjf/dcjf1987.pdf  2021-05-11T12:16:36.582191 ndcjf/dcjf1987.pdf
FILE FILE#NDCJF/DCJF1988.PDF ndcjf/dcjf1988.pdf  2021-05-11T12:16:37.946175 ndcjf/dcjf1988.pdf
FILE FILE#NDCJF/DCJF1989.PDF ndcjf/dcjf1989.pdf  2021-05-11T12:16:39.322128 ndcjf/dcjf1989.pdf
FILE FILE#NDCJF/DCJF1990.PDF ndcjf/dcjf1990.pdf  2021-05-11T12:16:40.722120 ndcjf/dcjf1990.pdf
FILE FILE#NDCJF/DCJF1991.PDF ndcjf/dcjf1991.pdf  2021-05-11T12:16:42.102118 ndcjf/dcjf1991.pdf
FILE FILE#NDCJF/DCJF1992.PDF ndcjf/dcjf1992.pdf  2021-05-11T12:16:43.422231 ndcjf/dcjf1992.pdf
FILE FILE#NDCJF/DCJF1993.PDF ndcjf/dcjf1993.pdf  2021-05-11T12:16:44.802159 ndcjf/dcjf1993.pdf
FILE FILE#NDCJF/DCJF1994.PDF ndcjf/dcjf1994.pdf  2021-05-11T12:16:46.182200 ndcjf/dcjf1994.pdf
FILE FILE#NDCJF/DCJF1995.PDF ndcjf/dcjf1995.pdf  2021-05-11T12:16:47.602233 ndcjf/dcjf1995.pdf
