"id","sourceSystem","repository","collectionId","parentId","level","title","dateCreated","uniqueIdentifier","dimensions","languages","subjects","copyrightStatus","copyrightStatement","linkToSource","access","format","dedication","description","modifiedDate","thumbnail","filePath","sequence","collectionInformation","fileId","mimeType","workType","medium","creators","width","height","md5Checksum","creationPlace"
"MSN-COL_8501-01.a.150.jpg","ArchivesSpace","RARE","MSNCOL8501_EAD","aspace_cbaf46313e6793df7d3161f155e86ff2","file","https://rarebooks library nd edu/collections/ead xml/images/MSN COL 8501/MSN COL 8501 01 a 150","","","","","","","","","","","","Page 1 and Address Leaf. Abigail Williams to Sarah Williams","2018-12-11T15:58:07Z","True","s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-COL_8501/MSN-COL_8501-01.a.150.jpg","0","","","","","","","","","5b108e24711bd33a4b490b21593a7edc-1",""
"aspace_cbaf46313e6793df7d3161f155e86ff2","ArchivesSpace","RARE","MSNCOL8501_EAD","MSNCOL8501_EAD","manifest","Letter. Abigail Williams, Waltham, Massachusetts, to Sarah Williams, Deerfield, Massachusetts","1760 November 10","MSN/COL 8501-1","","","","","","","","","","A personal letter to Sarah Williams from her mother, Abigail Leonard Williams. At the time Sarah Williams was visiting in Deerfield, where her paternal grandfather, Rev. John Williams, was minister at the turn of the eighteenth century. John Williams, his wife, and seven of his children, including Sarah's father Warham Williams, were among those made captive in the famous Deerfield raid of 1703/4. The letter includes a brief postscript in an unidentified masculine hand.","","","","1","","","","","","","","","",""
"MSN-COL_8501-02.a.150.jpg","ArchivesSpace","RARE","MSNCOL8501_EAD","aspace_f26866710ced1b93877c99c494c8d15b","file","https://rarebooks library nd edu/collections/ead xml/images/MSN COL 8501/MSN COL 8501 02 a 150","","","","","","","","","","","","Page 1 and Address leaf. Hannah Dickinson to Sarah Williams","2018-12-11T15:58:07Z","True","s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-COL_8501/MSN-COL_8501-02.a.150.jpg","0","","","","","","","","","803258b9c527b81f2722ec54d4f3272b-1",""
"aspace_f26866710ced1b93877c99c494c8d15b","ArchivesSpace","RARE","MSNCOL8501_EAD","MSNCOL8501_EAD","manifest","Letter. Hannah Dickinson, Dearfield [Deerfield], Massachusetts, to Sarah Williams, Waltham, Massachusetts","1761 August 19","MSN/COL 8501-2","","","","","","","","","","A personal letter to Williams from a friend in Deerfield. Dickinson acknowledges receipt of a letter and conveys family news, including the death of her father.","","","","2","","","","","","","","","",""
"MSN-COL_8501-03.a.150.jpg","ArchivesSpace","RARE","MSNCOL8501_EAD","aspace_88ae0040643d981a2e6c77e8267df16c","file","https://rarebooks library nd edu/collections/ead xml/images/MSN COL 8501/MSN COL 8501 03 a 150","","","","","","","","","","","","Page 1 and Address Leaf. Lydia Williams to ""Sally Williams"" [Sarah Williams]","2018-12-11T15:58:07Z","True","s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-COL_8501/MSN-COL_8501-03.a.150.jpg","0","","","","","","","","","f11703d03f4a420906786eb17978f456-1",""
"aspace_88ae0040643d981a2e6c77e8267df16c","ArchivesSpace","RARE","MSNCOL8501_EAD","MSNCOL8501_EAD","manifest","Letter. Lydia Williams, Dearfield [Deerfield], Massachusetts, to ""Sally Williams"" [Sarah Williams], Waltham, Massachusetts","1762 January 15","MSN/COL 8501-3","","","","","","","","","","A personal letter from Deerfield: "". . . Sally I hear you are like to break the promise you made me of liveing an old maid . . . .""","","","","3","","","","","","","","","",""
"MSN-COL_8501-04.a.150.jpg","ArchivesSpace","RARE","MSNCOL8501_EAD","aspace_424b93c46ef6d59496826365264d64f3","file","https://rarebooks library nd edu/collections/ead xml/images/MSN COL 8501/MSN COL 8501 04 a 150","","","","","","","","","","","","Page 1. Joseph Parsons [Jr.] to ""Honored Sir"" [Joseph Parsons]","2018-12-11T15:58:07Z","True","s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-COL_8501/MSN-COL_8501-04.a.150.jpg","0","","","","","","","","","59d742b6170d054be267aaeefba1313b-1",""
"aspace_424b93c46ef6d59496826365264d64f3","ArchivesSpace","RARE","MSNCOL8501_EAD","MSNCOL8501_EAD","manifest","Letter. Joseph Parsons [Jr.], Brookfield, Massachusetts, to ""Honored Sir"" [Joseph Parsons], n. p.","1762 April 9","MSN/COL 8501-4","","","","","","","","","","The author explains that he will be unable to make a scheduled payment to his father for land in Rutland, Massachusetts; inquires after the health of his family; and describes his recovery from a case of the mumps.","","","","4","","","","","","","","","",""
"MSN-COL_8501-05.a.150.jpg","ArchivesSpace","RARE","MSNCOL8501_EAD","aspace_06ff7ea76e79cc7b46637f36cb132d6b","file","https://rarebooks library nd edu/collections/ead xml/images/MSN COL 8501/MSN COL 8501 05 a 150","","","","","","","","","","","","Page 1 and Address Leaf. Joseph Parsons [Jr.] to Joseph Parsons","2018-12-11T15:58:07Z","True","s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-COL_8501/MSN-COL_8501-05.a.150.jpg","0","","","","","","","","","706afcfb539f70eea005cc4c9fd3e269-1",""
"MSN-COL_8501-05.b.150.jpg","ArchivesSpace","RARE","MSNCOL8501_EAD","aspace_06ff7ea76e79cc7b46637f36cb132d6b","file","https://rarebooks library nd edu/collections/ead xml/images/MSN COL 8501/MSN COL 8501 05 b 150","","","","","","","","","","","","","2018-12-11T15:58:07Z","False","s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-COL_8501/MSN-COL_8501-05.b.150.jpg","1","","","","","","","","","fe9fd3edc973d5658f670411cea62e4d-1",""
