sourceSystem,repository,collectionId,parentId,id,level,title,creator,dateCreated,uniqueIdentifier,dimensions,languages,subjects,usage,license,linkToSource,access,format,dedication,description,modifiedDate,thumbnail,filePath,fileId,sequence,collectionInformation,creators,fileInfo
,,MSNMN5004_EAD,aspace_7f9cff5fa5b42cfac3eba05de39b7a30,MSN-MN_5004-01.a.150.jpg,file,a 150 jpg,,,,,,,,,,,,,"Letter, John F. Delaney, Portland, Oregon, to Caroline D. Delaney, [Salt Lake City, Utah], Page 1",2018-12-11 16:00:38,True,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-01.a.150.jpg,,0,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-01.a.150.jpg', 'LastModified': '2018-12-11 16:00:38', 'ETag': '""df7f2cd5016c0d3d1fcb663602f7658a-1""', 'Size': 276408, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-01', 'Label': 'a 150 jpg', 'Order': 0, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-01.a.150.jpg'}"
,,MSNMN5004_EAD,aspace_7f9cff5fa5b42cfac3eba05de39b7a30,MSN-MN_5004-01.bc.150.jpg,file,bc 150 jpg,,,,,,,,,,,,,,2018-12-11 16:00:38,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-01.bc.150.jpg,,1,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-01.bc.150.jpg', 'LastModified': '2018-12-11 16:00:38', 'ETag': '""ecff47a5b949e8c3445b952d4517f72e-1""', 'Size': 366282, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-01', 'Label': 'bc 150 jpg', 'Order': 1, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-01.bc.150.jpg'}"
,,MSNMN5004_EAD,MSNMN5004_EAD,aspace_7f9cff5fa5b42cfac3eba05de39b7a30,manifest,"Letter, John F. Delaney, Portland, Oregon, to Caroline D. Delaney, [Salt Lake City, Utah]",,1898 February 5,MSN/MN 5004-1,,,,,,https://archivesspace.library.nd.edu/ark:/56090/508607,,,,,,,,,,,,
,,MSNMN5004_EAD,aspace_72166d9d915f90e983cad37d49943194,MSN-MN_5004-02.a.150.jpg,file,a 150 jpg,,,,,,,,,,,,,"Letter, [John F. Delaney], en route to Seattle, Washington, to Caroline D. Delaney, [Salt Lake City, Utah], Page 1",2018-12-11 16:00:38,True,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.a.150.jpg,,0,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.a.150.jpg', 'LastModified': '2018-12-11 16:00:38', 'ETag': '""56e2726bc460ae694c4598001b998317-1""', 'Size': 205165, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02', 'Label': 'a 150 jpg', 'Order': 0, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.a.150.jpg'}"
,,MSNMN5004_EAD,aspace_72166d9d915f90e983cad37d49943194,MSN-MN_5004-02.bc.150.jpg,file,bc 150 jpg,,,,,,,,,,,,,,2018-12-11 16:00:38,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.bc.150.jpg,,1,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.bc.150.jpg', 'LastModified': '2018-12-11 16:00:38', 'ETag': '""ecf4ffebf99a109761b1376cee13177f-1""', 'Size': 292890, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02', 'Label': 'bc 150 jpg', 'Order': 1, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.bc.150.jpg'}"
,,MSNMN5004_EAD,aspace_72166d9d915f90e983cad37d49943194,MSN-MN_5004-02.d.150.jpg,file,d 150 jpg,,,,,,,,,,,,,,2018-12-11 16:00:38,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.d.150.jpg,,2,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.d.150.jpg', 'LastModified': '2018-12-11 16:00:38', 'ETag': '""ddd3a89820bf921c2fdbcafb8bdb6f8d-1""', 'Size': 214153, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02', 'Label': 'd 150 jpg', 'Order': 2, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.d.150.jpg'}"
,,MSNMN5004_EAD,aspace_72166d9d915f90e983cad37d49943194,MSN-MN_5004-02.e.150.jpg,file,e 150 jpg,,,,,,,,,,,,,,2018-12-11 16:00:38,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.e.150.jpg,,3,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.e.150.jpg', 'LastModified': '2018-12-11 16:00:38', 'ETag': '""72933a8ade8733b1bb2b5689bd5190aa-1""', 'Size': 205226, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02', 'Label': 'e 150 jpg', 'Order': 3, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.e.150.jpg'}"
,,MSNMN5004_EAD,aspace_72166d9d915f90e983cad37d49943194,MSN-MN_5004-02.fg.150.jpg,file,fg 150 jpg,,,,,,,,,,,,,,2018-12-11 16:00:38,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.fg.150.jpg,,4,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.fg.150.jpg', 'LastModified': '2018-12-11 16:00:38', 'ETag': '""248d031657f28f8502f8b9fbac1103ff-1""', 'Size': 335722, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02', 'Label': 'fg 150 jpg', 'Order': 4, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.fg.150.jpg'}"
,,MSNMN5004_EAD,aspace_72166d9d915f90e983cad37d49943194,MSN-MN_5004-02.h.150.jpg,file,h 150 jpg,,,,,,,,,,,,,,2018-12-11 16:00:38,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.h.150.jpg,,5,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.h.150.jpg', 'LastModified': '2018-12-11 16:00:38', 'ETag': '""0eb8c39bf1f8cdcbe34dd3bc1344762c-1""', 'Size': 216296, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02', 'Label': 'h 150 jpg', 'Order': 5, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-02.h.150.jpg'}"
,,MSNMN5004_EAD,MSNMN5004_EAD,aspace_72166d9d915f90e983cad37d49943194,manifest,"Letter, [John F. Delaney], en route to Seattle, Washington, to Caroline D. Delaney, [Salt Lake City, Utah]",,1898 February 6,MSN/MN 5004-2,,,,,,https://archivesspace.library.nd.edu/ark:/56090/508608,,,,,,,,,,,,
